glyph_name,ps_name,USV,sort_final,in_neo
yalyakTuaregLig-tifi,uni2D4D_uni2D7F_uni2D3E,,2413.3140,
yalyatLig-tifi,uni2D4D_uni2D7F_uni2D5C,,2413.51205,
yalyatLig-tifi.rtl,uni2D4D_uni2D7F_uni2D5C.rtl,,2413.51205,
yalyatLig-tifi.v01,uni2D4D_uni2D7F_uni2D5C.v01,,2413.5121,
yalyatLig-tifi.v02,uni2D4D_uni2D7F_uni2D5C.v02,,2413.5122,
yalyatLig-tifi.v03,uni2D4D_uni2D7F_uni2D5C.v03,,2413.5123,
yam-tifi,uni2D4E,U+2D4E,2414,Y
yam-tifi.rtl,uni2D4E.rtl,,2414.005,
yamyahLig-tifi,uni2D4E_uni2D7F_uni2D40,,2414.400,
yamyasLig-tifi,uni2D4E_uni2D7F_uni2D59,,2414.509,
yamyasLig-tifi.rtl,uni2D4E_uni2D7F_uni2D59.rtl,,2414.50905,
yamyatLig-tifi,uni2D4E_uni2D7F_uni2D5C,,2414.5120,
yamyatLig-tifi.rtl,uni2D4E_uni2D7F_uni2D5C.rtl,,2414.51205,
yamyatLig-tifi.v01,uni2D4E_uni2D7F_uni2D5C.v01,,2414.5121,
yamyatLig-tifi.v01.rtl,uni2D4E_uni2D7F_uni2D5C.v01.rtl,,2414.51215,
yamyatLig-tifi.v02,uni2D4E_uni2D7F_uni2D5C.v02,,2414.5122,
yamyatLig-tifi.v02.rtl,uni2D4E_uni2D7F_uni2D5C.v02.rtl,,2414.51225,
yamyatLig-tifi.v03,uni2D4E_uni2D7F_uni2D5C.v03,,2414.5123,
yamyatLig-tifi.v03.rtl,uni2D4E_uni2D7F_uni2D5C.v03.rtl,,2414.51235,
yan-tifi,uni2D4F,U+2D4F,2415,Y
yan-tifi.raised,uni2D4F.raised,,2415.06,
yan-tifi.slant,uni2D4F.slant,,2415.07,
yan-tifi.slant.rtl,uni2D4F.slant.rtl,,2415.075,
yanyaghhLig-tifi,uni2D4F_uni2D7F_uni2D34,,2415.304,
yanyaghhLig-tifi.v01,uni2D4F_uni2D7F_uni2D34.v01,,2415.3041,
yanyajLig-tifi,uni2D4F_uni2D7F_uni2D36,,2415.306,
yanyajLig-tifi.v01,uni2D4F_uni2D7F_uni2D36.v01,,2415.3061,
yanyadLig-tifi,uni2D4F_uni2D7F_uni2D37,,2415.307,
yanyadLig-tifi.v01,uni2D4F_uni2D7F_uni2D37.v01,,2415.3071,
yanyadhLig-tifi,uni2D4F_uni2D7F_uni2D38,,2415.308,
yanyaddLig-tifi,uni2D4F_uni2D7F_uni2D39,,2415.309,
yanyafLig-tifi,uni2D4F_uni2D7F_uni2D3C,,2415.312,
yanyafLig-tifi.v01,uni2D4F_uni2D7F_uni2D3C.v01,,2415.3121,
yanyafLig-tifi.v02,uni2D4F_uni2D7F_uni2D3C.v02,,2415.3122,
yanyafLig-tifi.v03,uni2D4F_uni2D7F_uni2D3C.v03,,2415.3123,
yanyafyatLig-tifi,uni2D4F_uni2D3C_uni2D5C,,2415.312512,
yanyakTuaregLig-tifi,uni2D4F_uni2D7F_uni2D3E,,2415.314,
yanyakTuaregLig-tifi.v01,uni2D4F_uni2D7F_uni2D3E.v01,,2415.3141,
yanyazhTuaregLig-tifi,uni2D4F_uni2D7F_uni2D4C,,2415.413,
yanyazhTuaregLig-tifi.v01,uni2D4F_uni2D7F_uni2D4C.v01,,2415.4131,
yanyaghTuaregLig-tifi,uni2D4F_uni2D7F_uni2D57,,2415.507,
yanyaghTuaregLig-tifi.rtl,uni2D4F_uni2D7F_uni2D57.rtl,,2415.50705,
yanyasLig-tifi,uni2D4F_uni2D7F_uni2D59,,2415.509,
yanyasLig-tifi.rtl,uni2D4F_uni2D7F_uni2D59.rtl,,2415.50905,
yanyasLig-tifi.v01,uni2D4F_uni2D7F_uni2D59.v01,,2415.5091,
yanyasLig-tifi.v01.rtl,uni2D4F_uni2D7F_uni2D59.v01.rtl,,2415.50915,
yanyashLig-tifi,uni2D4F_uni2D7F_uni2D5B,,2415.511,
yanyashLig-tifi.rtl,uni2D4F_uni2D7F_uni2D5B.rtl,,2415.51105,
yanyashLig-tifi.v01,uni2D4F_uni2D7F_uni2D5B.v01,,2415.5111,
yanyatLig-tifi,uni2D4F_uni2D7F_uni2D5C,,2415.512,
yanyatLig-tifi.rtl,uni2D4F_uni2D7F_uni2D5C.rtl,,2415.51205,
yanyatLig-tifi.v01,uni2D4F_uni2D7F_uni2D5C.v01,,2415.5121,
yanyatLig-tifi.v01.rtl,uni2D4F_uni2D7F_uni2D5C.v01.rtl,,2415.51215,
yanyatLig-tifi.v02,uni2D4F_uni2D7F_uni2D5C.v02,,2415.5122,
